Timestamp,ARDR,BTC,IOTA,LSK,TOTAL
1511300999,0.271596,8153.17,0.90197,9.69153,242284183181.0
1511301120,0.271596,8153.17,0.90197,9.69153,242292470247.0
1511301242,0.271596,8153.17,0.90197,9.69153,242292470247.0
1511301363,0.271532,8159.1,0.89695,9.68193,242445251298.0
1511301484,0.271532,8159.1,0.89695,9.68193,242445251298.0
1511301605,0.271494,8141.33,0.889614,9.71701,242117983916.0
1511301726,0.271494,8141.33,0.889614,9.71701,242117983916.0
1511301847,0.271494,8141.33,0.889614,9.71701,242127090253.0
1511301969,0.270849,8116.24,0.892288,9.70078,241475672480.0
1511302089,0.270849,8116.24,0.892288,9.70078,241475672480.0
1511302210,0.269543,8103.86,0.893892,9.66131,241075009500.0
1511302331,0.269543,8103.86,0.893892,9.66131,241012445374.0
1511302452,0.269543,8103.86,0.893892,9.65179,241012445374.0
1511302573,0.269764,8115.76,0.898667,9.65179,241184184675.0
1511302694,0.269764,8115.76,0.898667,9.65179,241184184675.0
1511302817,0.270308,8111.04,0.894819,9.6601,241039816291.0
1511302939,0.270308,8111.04,0.894819,9.6601,241039816291.0
1511303061,0.270252,8111.04,0.894819,9.64463,241047000334.0
1511303182,0.270252,8089.59,0.894653,9.64463,240672955744.0
1511303304,0.270252,8089.59,0.894653,9.64463,240672955744.0
1511303424,0.268742,8066.27,0.885968,9.61134,239961727504.0
1511303545,0.268742,8066.27,0.885968,9.61134,239961727504.0
1511303666,0.268611,8032.27,0.885968,9.60432,239961727504.0
1511303787,0.268611,8032.27,0.879008,9.60432,239127777596.0
1511303908,0.268611,8032.27,0.879008,9.60432,239127777596.0
1511304029,0.267533,8054.73,0.879666,9.54613,239299980142.0
1511304150,0.267533,8054.73,0.879666,9.54613,239299980142.0
1511304270,0.268349,8053.22,0.873204,9.59197,239300991436.0
1511304392,0.268349,8053.22,0.873204,9.59197,239355330490.0
1511304512,0.268349,8053.22,0.873204,9.59197,239355330490.0
1511304633,0.268508,8053.31,0.879149,9.58762,239286036545.0
1511304754,0.268508,8053.31,0.879149,9.58762,239286036545.0
1511304875,0.267481,8020.76,0.8715,9.57574,238634191065.0
1511304997,0.267481,8020.76,0.8715,9.57574,238565269113.0
1511305118,0.267481,8020.76,0.8715,9.57574,238565269113.0
1511305238,0.26948,8001.27,0.867607,9.53093,237881459253.0
1511305359,0.26948,8001.27,0.867607,9.53093,237881459253.0
1511305480,0.268359,8020.55,0.878805,9.49716,237881459253.0
1511305601,0.268359,8020.55,0.878805,9.49716,238038269060.0
1511305722,0.268359,8020.55,0.878805,9.49716,238038269060.0
1511305843,0.270662,8040.78,0.88233,9.58851,238924994690.0
1511305964,0.270662,8040.78,0.88233,9.58851,238924994690.0
1511306084,0.268501,8052.51,0.886033,9.58164,239054110614.0
1511306205,0.268501,8052.51,0.886033,9.58164,239055739049.0
1511306326,0.268501,8052.51,0.886033,9.58164,239055739049.0
1511306447,0.270482,8059.71,0.888241,9.56113,239288845440.0
1511306568,0.270482,8059.71,0.888241,9.56113,239288845440.0
1511306689,0.271043,8087.23,0.889588,9.6223,240071476538.0
1511306810,0.271043,8087.23,0.889588,9.6223,240071476538.0
1511306930,0.271043,8087.23,0.889588,9.6223,240071476538.0
1511307051,0.271146,8094.48,0.891617,9.65714,240270474397.0
1511307172,0.271146,8094.48,0.891617,9.65714,240270474397.0
1511307293,0.271706,8104.12,0.894393,9.63202,240314557259.0
1511307414,0.271706,8104.12,0.894393,9.63202,240591763125.0
1511307535,0.271706,8104.12,0.894393,9.63202,240591763125.0
1511307656,0.271373,8087.59,0.894899,9.67854,240218821460.0
1511307777,0.271373,8087.59,0.894899,9.67854,240218821460.0
1511307898,0.270648,8070.54,0.892646,9.67111,239750726978.0
1511308019,0.270648,8070.54,0.892646,9.67111,239750726978.0
1511308140,0.270648,8070.54,0.892646,9.67111,239750726978.0
1511308262,0.269807,8061.75,0.890683,9.63994,239446625847.0
1511308383,0.269807,8061.75,0.890683,9.63994,239446625847.0
1511308504,0.26865,8066.68,0.887598,9.61463,239348424448.0
1511308624,0.26865,8066.68,0.887598,9.61463,239306401058.0
1511308745,0.26865,8066.68,0.887598,9.61463,239306401058.0
1511308866,0.268989,8071.26,0.888499,9.68124,239631802763.0
1511308988,0.268989,8071.26,0.888499,9.68124,239631802763.0
1511309109,0.269115,8077.95,0.889204,9.67986,239731779894.0
1511309229,0.269115,8077.95,0.889204,9.67986,239731779894.0
1511309350,0.269115,8077.95,0.889204,9.67986,239731779894.0
1511309471,0.266229,8097.15,0.890785,9.67454,239986782896.0
1511309592,0.266229,8097.15,0.890785,9.67454,239986782896.0
1511309713,0.268542,8107.16,0.893114,9.70137,240315051148.0
1511309835,0.268542,8107.16,0.893114,9.70137,240320499112.0
1511309955,0.268542,8107.16,0.893114,9.67977,240320499112.0
1511310076,0.268325,8122.04,0.894048,9.67977,240644846578.0
1511310197,0.268325,8122.04,0.894048,9.67977,240644846578.0
1511310318,0.267474,8128.93,0.899851,9.69139,240852746669.0
1511310439,0.267474,8128.93,0.899851,9.69139,240852746669.0
1511310560,0.268025,8128.93,0.899851,9.73399,240935842311.0
1511310681,0.268025,8131.94,0.903122,9.73399,241232491096.0
1511310802,0.268025,8131.94,0.903122,9.73399,241232491096.0
1511310923,0.270198,8130.68,0.904685,9.76195,241337792053.0
1511311044,0.270198,8130.68,0.904685,9.76195,241350437114.0
1511311165,0.268713,8124.74,0.904685,9.74709,241350437114.0
1511311286,0.268713,8124.74,0.90284,9.74709,241127278777.0
1511311407,0.268713,8124.74,0.90284,9.74709,241127278777.0
1511311528,0.268679,8121.39,0.902358,9.74519,240936699914.0
1511311649,0.268679,8121.39,0.902358,9.74519,240936699914.0
1511311770,0.269953,8128.33,0.907692,9.75885,240970995262.0
1511311891,0.269953,8128.33,0.907692,9.75885,241137637314.0
1511312012,0.269953,8128.33,0.907692,9.75885,241137637314.0
1511312135,0.26849,8121.76,0.900532,9.74541,241062011466.0
1511312255,0.26849,8121.76,0.900532,9.74541,241062011466.0
1511312376,0.267747,8119.92,0.904889,9.75613,241062011466.0
1511312497,0.267747,8119.92,0.904889,9.75613,241041714760.0
1511312618,0.267747,8119.92,0.904889,9.75613,241041714760.0
1511312739,0.270097,8116.06,0.907464,9.74531,240865662772.0
1511312860,0.270097,8116.06,0.907464,9.74531,240865662772.0
1511312981,0.267633,8086.86,0.903752,9.72704,240255030018.0
1511313102,0.267633,8086.86,0.903752,9.72704,240217131792.0
1511313223,0.267633,8086.86,0.903752,9.72704,240217131792.0
1511313343,0.267569,8078.68,0.904572,9.69387,239852100947.0
1511313464,0.267569,8078.68,0.904572,9.69387,239852100947.0
1511313585,0.272904,8075.47,0.902836,9.68981,239852100947.0
1511313706,0.272904,8075.47,0.902836,9.68981,239850612569.0
1511313827,0.272904,8075.47,0.902836,9.68981,239850612569.0
1511313948,0.275423,8087.31,0.906517,9.71775,240105802444.0
1511314069,0.275423,8087.31,0.906517,9.71775,240105802444.0
1511314189,0.276726,8089.47,0.904883,9.71469,240171852378.0
1511314310,0.276726,8089.47,0.904883,9.71469,240199529519.0
1511314431,0.276726,8089.47,0.904883,9.71469,240199529519.0
1511314552,0.277162,8092.38,0.904478,9.72812,240297853630.0
1511314673,0.277162,8092.38,0.904478,9.72812,240297853630.0
1511314794,0.283704,8095.81,0.90514,9.72161,240365355427.0
1511314915,0.283704,8095.81,0.90514,9.72161,240365355427.0
1511315036,0.283704,8095.81,0.90514,9.72161,240365355427.0
1511315157,0.289456,8106.55,0.908413,9.73052,240678215394.0
1511315279,0.289456,8106.55,0.908413,9.73052,240678215394.0
1511315400,0.288862,8111.48,0.908473,9.74076,240713519019.0
1511315521,0.288862,8111.48,0.908473,9.74076,240883639501.0
1511315643,0.288862,8111.48,0.908473,9.74076,240883639501.0
1511315764,0.290732,8121.79,0.904491,9.74116,240993223903.0
1511315885,0.290732,8121.79,0.904491,9.74116,240993223903.0
1511316006,0.2907,8126.75,0.908941,9.7205,241128076936.0
1511316127,0.2907,8126.75,0.908941,9.7205,241128076936.0
1511316248,0.2907,8126.75,0.908941,9.7205,241128076936.0
1511316369,0.288521,8140.84,0.906949,9.73831,241496892004.0
1511316490,0.288521,8140.84,0.906949,9.73831,241496892004.0
1511316611,0.297351,8136.22,0.906689,9.74177,241401495968.0
1511316732,0.297351,8136.22,0.906689,9.74177,241401495968.0
1511316853,0.297351,8136.22,0.906689,9.74735,241401495968.0
1511316975,0.301931,8137.92,0.907738,9.74735,241490785680.0
1511317096,0.301931,8137.92,0.907738,9.74735,241490785680.0
1511317217,0.301121,8142.0,0.908373,9.73773,241552178728.0
1511317337,0.301121,8142.0,0.908373,9.73773,241492659933.0
1511317458,0.30554,8142.0,0.908373,9.73956,241492659933.0
1511317580,0.30554,8126.79,0.902093,9.73956,241204261304.0
1511317701,0.30554,8126.79,0.902093,9.73956,241204261304.0
1511317822,0.302158,8127.83,0.892849,9.69979,240992878177.0
1511317942,0.302158,8127.83,0.892849,9.69979,240992878177.0
1511318064,0.301667,8130.27,0.897084,9.6963,240987313194.0
1511318189,0.301667,8130.27,0.897084,9.6963,241080988882.0
1511318311,0.301667,8130.27,0.897084,9.6963,241080988882.0
